Awake WH,REM WH,Light WH,Deep WH,BPM WH,HRV (ms) WH,Score WH
1.22,0.51,4.32,1.43,52,51,87
0.34,1.22,4.07,1.39,52,52,85
0.32,1.13,4.31,1.14,51,62,81
0.48,0.59,3.44,1.24,51,56,71
1.47,0.49,4.14,1.38,52,53,73
0.54,1.54,4.33,1.42,51,43,90
0.58,1.03,4.38,1.46,56,42,84
0.45,2.22,3.45,1.24,53,47,87
0.58,1.19,3.38,1.39,49,51,78
1.1,1.51,4.12,1.58,49,36,93
0.48,1.34,4.11,2.01,52,48,91
0.51,1.08,4.25,1.53,50,50,86
0.52,1.52,5.05,1.3,49,47,100
0.46,1.5,3.54,1.22,49,59,86
0.59,1.21,3.59,1.48,49,48,85
0.37,1.01,3.5,1.07,51,74,69
1.3,1.28,4.18,2.02,51,58,86
0.46,1.06,3.29,1.26,50,53,71
0.39,1.03,4.3,2.07,52,53,81
0.59,1.48,4.52,1.0,48,46,86
0.51,1.4,3.57,1.01,50,47,79
1.25,1.27,3.44,1.51,49,51,81
2.13,1.12,2.49,2.25,51,44,77
0.5,1.45,4.47,1.07,54,54,88
0.45,1.12,3.33,1.27,53,47,75
1.05,2.03,3.05,1.59,51,52,78
1.05,1.57,3.36,2.28,46,75,90
0.37,1.29,2.47,1.27,47,65,67
0.52,2.24,2.55,1.53,49,61,80
0.42,1.13,3.45,1.33,48,50,72
1.07,1.3,3.37,1.5,52,54,75
1.06,1.21,4.41,2.16,49,61,91
0.29,1.29,2.36,1.49,47,61,72
0.51,0.5,3.54,1.22,47,53,67
0.4,2.34,3.32,1.33,52,49,81
1.07,1.31,3.2,2.09,53,49,80
2.08,1.14,4.35,2.27,51,55,95
0.38,2.47,2.35,1.48,48,73,90
0.37,1.43,3.52,1.57,50,56,94
0.27,1.32,3.11,1.39,48,58,76
0.36,1.22,4.32,1.36,49,52,87
0.51,1.33,4.3,2.07,51,48,98
0.25,1.35,3.2,1.35,49,56,84
0.33,1.2,4.28,1.2,51,54,81
0.23,0.51,4.33,1.51,52,53,83
0.25,1.31,3.29,1.56,49,54,74
0.32,1.34,3.49,1.48,47,58,81
0.27,1.37,3.22,1.52,50,49,77
0.47,1.43,5.23,2.0,49,55,100
0.35,1.2,3.36,0.58,51,50,70
0.17,1.59,3.08,1.22,52,47,72
0.31,1.18,3.49,1.45,50,58,77
0.4,1.58,3.28,1.28,46,64,79
0.25,1.51,5.18,1.25,48,54,100
0.47,2.3,4.02,2.11,46,61,100
0.41,1.09,4.05,1.21,45,58,85
0.13,1.02,3.29,2.01,46,71,50
1.08,1.35,4.34,1.52,48,52,100
1.11,1.55,4.18,1.33,51,48,100
0.41,1.44,4.54,1.46,45,69,100
0.46,1.48,5.17,1.12,47,56,100
0.18,1.15,3.16,1.33,48,56,76
0.22,1.27,3.34,1.31,48,53,71
0.29,1.36,2.39,1.4,55,45,64
0.16,1.13,3.57,1.29,51,57,70
0.24,2.04,3.53,1.43,49,56,84
0.11,1.53,2.26,2.01,49,54,71
1.29,1.28,5.4,1.35,48,66,94
